,Name,AHA ID,Hospital ID,Cancer Ranking,Cancer Ranking Tied?,Cancer Ranking Revoked?,Cancer Ranking Specialty ID,Cancer Ranking PrettyPrinter,Cancer Care Score,Updated
141,Abbott Northwestern Hospital,6610815,6610815,,,,IHQCANC,adult,41.4/100,2023-01-04 19:41:01.724154
142,Houston Methodist Willowbrook Hospital,6740204,6740204,,,,IHQCANC,adult,41.4/100,2023-01-04 19:41:01.724154
143,Memorial Hospital West,6390034,6390034,,,,IHQCANC,adult,41.3/100,2023-01-04 19:41:01.724154
144,Dell Seton Medical Center at the University of Texas,6741110,6741110,,,,IHQCANC,adult,41.2/100,2023-01-04 19:41:01.724154
145,Intermountain LDS Hospital,6870260,6870260,,,,IHQCANC,adult,41.2/100,2023-01-04 19:41:01.724154
146,Providence Portland Medical Center,6920520,6920520,,,,IHQCANC,adult,41.1/100,2023-01-04 19:41:01.724154
147,Advocate Sherman Hospital,6431610,6431610,,,,IHQCANC,adult,41.0/100,2023-01-04 19:41:01.724154
148,Aurora St. Luke's Medical Center,6450017,6450017,,,,IHQCANC,adult,41.0/100,2023-01-04 19:41:01.724154
149,Las Palmas Medical Center,6741315,6741315,,,,IHQCANC,adult,41.0/100,2023-01-04 19:41:01.724154
150,Westchester Medical Center,6215150,6215150,,,,IHQCANC,adult,41.0/100,2023-01-04 19:41:01.724154
151,Amita Health Adventist La Grange Medical Center,6432055,6432055,,,,IHQCANC,adult,40.9/100,2023-01-04 19:41:01.724154
152,Beaumont Hospital-Dearborn,6440405,6440405,,,,IHQCANC,adult,40.9/100,2023-01-04 19:41:01.724154
153,Beaumont Hospital-Grosse Pointe,6441260,6441260,,,,IHQCANC,adult,40.9/100,2023-01-04 19:41:01.724154
154,Methodist Hospitals of Memphis,6520785,6520785,,,,IHQCANC,adult,40.9/100,2023-01-04 19:41:01.724154
155,Good Samaritan Hospital-Cincinnati,6410490,6410490,,,,IHQCANC,adult,40.8/100,2023-01-04 19:41:01.724154
156,Henry Mayo Newhall Hospital,6933488,6933488,,,,IHQCANC,adult,40.7/100,2023-01-04 19:41:01.724154
157,Eisenhower Medical Center,6932324,6932324,,,,IHQCANC,adult,40.6/100,2023-01-04 19:41:01.724154
158,George Washington University Hospital,6330140,6330140,,,,IHQCANC,adult,40.6/100,2023-01-04 19:41:01.724154
159,Adventist Health Glendale,6930831,6930831,,,,IHQCANC,adult,40.5/100,2023-01-04 19:41:01.724154
160,Missouri Baptist Medical Center,6631100,6631100,,,,IHQCANC,adult,40.5/100,2023-01-04 19:41:01.724154
161,Temple University Hospital,6232300,6232300,,,,IHQCANC,adult,40.5/100,2023-01-04 19:41:01.724154
162,Duke Regional Hospital,6360440,6360440,,,,IHQCANC,adult,40.4/100,2023-01-04 19:41:01.724154
163,Sanford Medical Center Fargo,6640180,6640180,,,,IHQCANC,adult,40.3/100,2023-01-04 19:41:01.724154
164,UAMS Medical Center,6710440,6710440,,,,IHQCANC,adult,40.3/100,2023-01-04 19:41:01.724154
165,Lehigh Valley Hospital-Cedar Crest,6230013,6230013,,,,IHQCANC,adult,40.2/100,2023-01-04 19:41:01.724154
166,Rhode Island Hospital,6150150,6150150,,,,IHQCANC,adult,40.2/100,2023-01-04 19:41:01.724154
167,Memorial Hermann Greater Heights Hospital,6741952,6741952,,,,IHQCANC,adult,40.1/100,2023-01-04 19:41:01.724154
168,Methodist Richardson Medical Center,6742911,6742911,,,,IHQCANC,adult,40.1/100,2023-01-04 19:41:01.724154
169,Banner Del E. Webb Medical Center,6860430,6860430,,,,IHQCANC,adult,40.0/100,2023-01-04 19:41:01.724154
170,Augusta University Medical Center,6380254,6380254,,,,IHQCANC,adult,39.9/100,2023-01-04 19:41:01.724154
171,Providence Holy Cross Medical Center,6932860,6932860,,,,IHQCANC,adult,39.9/100,2023-01-04 19:41:01.724154
172,Ochsner Medical Center,6720631,6720631,,,,IHQCANC,adult,39.8/100,2023-01-04 19:41:01.724154
173,St. Luke's University Hospital-Bethlehem Campus,6230049,6230049,,,,IHQCANC,adult,39.8/100,2023-01-04 19:41:01.724154
174,University of Illinois Hospital,6430553,6430553,,,,IHQCANC,adult,39.8/100,2023-01-04 19:41:01.724154
175,Advocate Good Shepherd Hospital,6430160,6430160,,,,IHQCANC,adult,39.7/100,2023-01-04 19:41:01.724154
176,Cooperman Barnabas Medical Center,6220800,6220800,,,,IHQCANC,adult,39.7/100,2023-01-04 19:41:01.724154
177,Ascension St. Alexius Hospital,6431926,6431926,,,,IHQCANC,adult,39.5/100,2023-01-04 19:41:01.724154
178,Carle Foundation Hospital,6433070,6433070,,,,IHQCANC,adult,39.5/100,2023-01-04 19:41:01.724154
179,Kaiser Permanente San Francisco Medical Center,6930015,6930015,,,,IHQCANC,adult,39.5/100,2023-01-04 19:41:01.724154
180,Piedmont Fayette Hospital,6380024,6380024,,,,IHQCANC,adult,39.5/100,2023-01-04 19:41:01.724154
181,Pennsylvania Hospital,6230022,6230022,,,,IHQCANC,adult,39.4/100,2023-01-04 19:41:01.724154
182,Swedish First Hill Hospital,6910006,6910006,,,,IHQCANC,adult,39.4/100,2023-01-04 19:41:01.724154
183,ECU Health Medical Center,6360690,6360690,,,,IHQCANC,adult,39.2/100,2023-01-04 19:41:01.724154
184,HonorHealth Scottsdale Shea Medical Center,6860395,6860395,,,,IHQCANC,adult,39.1/100,2023-01-04 19:41:01.724154
185,UF Health Jacksonville,6390082,6390082,,,,IHQCANC,adult,39.1/100,2023-01-04 19:41:01.724154
186,Chester County Hospital,6233400,6233400,,,,IHQCANC,adult,39.0/100,2023-01-04 19:41:01.724154
187,Cleveland Clinic Akron General,6410010,6410010,,,,IHQCANC,adult,39.0/100,2023-01-04 19:41:01.724154
188,Research Medical Center,6630435,6630435,,,,IHQCANC,adult,38.9/100,2023-01-04 19:41:01.724154
189,UPMC Passavant,6232540,6232540,,,,IHQCANC,adult,38.9/100,2023-01-04 19:41:01.724154
