,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
100,Avera McKennan Hospital and University Health Center,6650420,6650420,IHQCANC,45.2/100,,,,adult,2023-01-04 20:29:21.680567
101,Emory University Hospital Midtown,6380080,6380080,IHQCANC,45.2/100,,,,adult,2023-01-04 20:29:21.680567
102,Tufts Medical Center,6140465,6140465,IHQCANC,45.2/100,,,,adult,2023-01-04 20:29:21.680567
103,Mount Sinai Morningside and Mount Sinai West Hospitals,6213335,6213335,IHQCANC,45.1/100,,,,adult,2023-01-04 20:29:21.680567
104,Cleveland Clinic Hillcrest Hospital,6410945,6410945,IHQCANC,45.0/100,,,,adult,2023-01-04 20:29:21.680567
105,Stony Brook University Hospital,6214775,6214775,IHQCANC,45.0/100,,,,adult,2023-01-04 20:29:21.680567
106,Advocate Illinois Masonic Medical Center,6430024,6430024,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
107,Morristown Medical Center,6220680,6220680,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
108,Piedmont Atlanta Hospital,6380180,6380180,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
109,Sharp Memorial Hospital,6932785,6932785,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
110,NorthShore University Health System-Metro Chicago,6430021,6430021,IHQCANC,44.4/100,,,,adult,2023-01-04 20:29:21.680567
111,University of New Mexico Hospitals,6850037,6850037,IHQCANC,44.3/100,,,,adult,2023-01-04 20:29:21.680567
112,Saint Luke's Cancer Institute,6630470,6630470,IHQCANC,44.2/100,,,,adult,2023-01-04 20:29:21.680567
113,Sentara Norfolk General Hospital,6340620,6340620,IHQCANC,44.2/100,,,,adult,2023-01-04 20:29:21.680567
114,Indiana University Health Medical Center,6420020,6420020,IHQCANC,44.1/100,,,,adult,2023-01-04 20:29:21.680567
115,Karmanos Cancer Center,6440043,6440043,IHQCANC,43.9/100,,,,adult,2023-01-04 20:29:21.680567
116,Froedtert Hospital and the Medical College of Wisconsin,6452115,6452115,IHQCANC,43.8/100,,,,adult,2023-01-04 20:29:21.680567
117,Hoag Memorial Hospital Presbyterian,6932115,6932115,IHQCANC,43.6/100,,,,adult,2023-01-04 20:29:21.680567
118,Baylor Scott and White Medical Center-Temple,6743413,6743413,IHQCANC,43.5/100,,,,adult,2023-01-04 20:29:21.680567
119,Torrance Memorial Medical Center,6933679,6933679,IHQCANC,43.5/100,,,,adult,2023-01-04 20:29:21.680567
120,Upstate University Hospital,6214885,6214885,IHQCANC,43.4/100,,,,adult,2023-01-04 20:29:21.680567
121,Phelps Memorial Hospital Center at Northwell Health,6213870,6213870,IHQCANC,43.3/100,,,,adult,2023-01-04 20:29:21.680567
122,Stormont Vail Hospital,6671025,6671025,IHQCANC,43.2/100,,,,adult,2023-01-04 20:29:21.680567
123,Mount Sinai Beth Israel Hospital,6212655,6212655,IHQCANC,43.1/100,,,,adult,2023-01-04 20:29:21.680567
124,Marin General Hospital,6933370,6933370,IHQCANC,43.0/100,,,,adult,2023-01-04 20:29:21.680567
125,Inova Fairfax Hospital,6340490,6340490,IHQCANC,42.9/100,,,,adult,2023-01-04 20:29:21.680567
126,Lancaster General Hospital,6231120,6231120,IHQCANC,42.9/100,,,,adult,2023-01-04 20:29:21.680567
127,Sky Ridge Medical Center,6840023,6840023,IHQCANC,42.9/100,,,,adult,2023-01-04 20:29:21.680567
128,UNC Rex Hospital,6361210,6361210,IHQCANC,42.9/100,,,,adult,2023-01-04 20:29:21.680567
129,Baptist Health Cancer Care,6390994,6390994,IHQCANC,42.8/100,,,,adult,2023-01-04 20:29:21.680567
